Duration,Finished,RecordedDate,ResponseId,Age,Gender,item,TF,TF_RT,Nice,Nice_RT,trial,condition,Answer,Question,correct
517,TRUE,5/17/19 8:51,R_2vkROjR461UeBcK,31,Female,1,TRUE,2.487,6,1.816,1,cooperation,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
615,TRUE,5/17/19 8:52,R_1r6MMWV7DfFqxpd,42,Male,1,FALSE,5.074,3,1.135,28,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",FALSE
649,TRUE,5/17/19 8:53,R_25T8irozLCiLVh0,37,Female,1,TRUE,1.64,4,3.316,2,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
802,TRUE,5/17/19 8:55,R_25zlzmqXGkuMoAy,37,Female,1,TRUE,3.358,2,1.921,1,competition,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
824,TRUE,5/17/19 8:56,R_3lJuzEN9AReQ5wu,32,Male,1,FALSE,2.055,4,0.595,27,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",FALSE
823,TRUE,5/17/19 8:56,R_1OpEbMtZfF51Vcf,36,Male,1,TRUE,0.799,5,0,25,cooperation,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
816,TRUE,5/17/19 8:56,R_3R9Nfp2ZRQx5m2K,49,Male,1,TRUE,4.922,4,1.205,12,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
891,TRUE,5/17/19 8:57,R_3fjCpZoHRW1A2Ne,26,Female,1,TRUE,1.647,3,0,10,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
888,TRUE,5/17/19 8:57,R_DwQFzpjRs6OWsVj,57,Male,1,TRUE,6.678,4,6.841,1,cooperation,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
921,TRUE,5/17/19 8:58,R_3xGmIO9l4b0xjkB,45,Male,1,TRUE,2.791,2,2.297,18,competition,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
555,TRUE,5/17/19 8:58,R_1i2GGu5vP49VOSx,33,Female,1,FALSE,0.618,4,1.249,5,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",FALSE
872,TRUE,5/17/19 8:58,R_3LZJmEfxFNA9QM1,24,Male,1,TRUE,0.903,2,0,10,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
582,TRUE,5/17/19 8:58,R_6JVr2yclf78Ur7z,40,Male,1,TRUE,1.787,3,1.229,22,cooperation,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
749,TRUE,5/17/19 8:59,R_2OUvCFq6IOByioY,65,Male,1,TRUE,1.473,3,0,31,competition,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
890,TRUE,5/17/19 8:59,R_3OjBivwNVJgGCFm,60,Female,1,TRUE,15.075,1,2.363,6,competition,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
960,TRUE,5/17/19 8:59,R_1dgchqMkrwtYRuw,25,Male,1,TRUE,6.3,4,0,1,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
951,TRUE,5/17/19 9:00,R_SHwxBm7rrXS6UuJ,60,Female,1,TRUE,1.895,4,2.21,13,competition,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
965,TRUE,5/17/19 9:00,R_1jdGOcwp6nTs8Cm,28,Male,1,TRUE,1.673,4,1.659,28,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
1086,TRUE,5/17/19 9:00,R_3kdfn7V66RfiGJP,49,Male,1,TRUE,3.712,5,2.356,12,cooperation,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
1096,TRUE,5/17/19 9:01,R_C8IZCVpfJk9pRex,46,Male,1,TRUE,3.48,3,5.982,5,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
939,TRUE,5/17/19 9:01,R_2ylbMvSHnM4PuIq,31,Male,1,FALSE,1.388,5,1.913,28,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",FALSE
1234,TRUE,5/17/19 9:02,R_1pS4Yf6fKavO3cv,48,Male,1,TRUE,2.516,2,0.869,19,competition,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
1265,TRUE,5/17/19 9:03,R_1oGTEKsFA05S3nG,63,Male,1,TRUE,2.236,5,0,29,cooperation,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
931,TRUE,5/17/19 9:03,R_3nqkGhiEKj7lACI,37,Male,1,TRUE,2.37,4,0,21,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
1183,TRUE,5/17/19 9:03,R_2bZdLlIE23PGHei,27,Male,1,TRUE,10.035,1,0.789,21,cooperation,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
1307,TRUE,5/17/19 9:04,R_2pJG64saaKdTEdF,30,Male,1,TRUE,1.84,4,0,14,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
1122,TRUE,5/17/19 9:04,R_Wj28Vrunc9JSU01,45,Male,1,TRUE,4.005,3,9.976,13,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
910,TRUE,5/17/19 9:06,R_24jDzYSpw6orAoF,42,Male,1,FALSE,3.096,6,0,18,cooperation,TRUE,"While Sally is away, she will think that her ball is in the box.",FALSE
1421,TRUE,5/17/19 9:06,R_7WGQFotDexFeJ6V,29,Female,1,TRUE,2.968,1,2.698,11,competition,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
525,TRUE,5/17/19 9:06,R_3hiuPltAaux0CPe,30,Male,1,FALSE,0.832,5,0,20,cooperation,TRUE,"While Sally is away, she will think that her ball is in the box.",FALSE
1495,TRUE,5/17/19 9:07,R_1H8EPfrxw1tw3uT,28,Male,1,TRUE,2.363,1,1.268,2,competition,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
689,TRUE,5/17/19 9:10,R_3qIIkYISe34fYTW,30,Male,1,TRUE,0.267,6,0.78,12,cooperation,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
