Duration,Finished,RecordedDate,ResponseId,Age,Gender,item,TF,TF_RT,Nice,Nice_RT,trial,condition,Answer,Question,correct
579,TRUE,5/14/19 15:29,R_2DYMxUdsqW7urie,NA,Male,1,FALSE,1.093,4,1.341,25,competition,TRUE,"While Sally is away, she will think that her ball is in the box.",FALSE
579,TRUE,5/14/19 15:29,R_3nMfbYgmeMsZrvT,29,Male,1,TRUE,2.126,1,0.669,7,competition,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
551,TRUE,5/14/19 15:30,R_1Q3kb3QHK7VyE5w,30,Male,1,TRUE,2.541,4,0.461,5,competition,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
733,TRUE,5/14/19 15:30,R_3PnHRjcnKxu90Zm,25,Male,1,TRUE,3.431,3,1.499,22,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
680,TRUE,5/14/19 15:31,R_1od3IZBBcQ8uIKW,35,Male,1,TRUE,1.98,4,0.857,26,cooperation,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
768,TRUE,5/14/19 15:31,R_29n0nxx0pYvnTbf,NA,Female,1,TRUE,1.901,2,0,1,competition,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
775,TRUE,5/14/19 15:31,R_vDoFAJWn3ficlc5,30,Female,1,TRUE,28.163,7,0.659,25,competition,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
535,TRUE,5/14/19 15:31,R_1P5IiJLkPGRcfiq,25,Male,1,TRUE,1.713,4,0,6,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
640,TRUE,5/14/19 15:33,R_3RkhbbvCfn0cyo8,33,Female,1,FALSE,0.861,5,0.399,28,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",FALSE
834,TRUE,5/14/19 15:35,R_6V9NBht1dZxbU2J,27,Male,1,TRUE,0.987,4,0,17,competition,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
930,TRUE,5/14/19 15:35,R_UFRVby7h8t7VjHz,28,Male,1,TRUE,1.52,4,0.715,28,competition,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
1038,TRUE,5/14/19 15:36,R_1N3vJDGAXY0GM2n,32,Female,1,TRUE,3.522,2,1.724,26,competition,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
733,TRUE,5/14/19 15:36,R_3lVvCsyyISloSBp,50,Female,1,FALSE,2.46,NA,0,13,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",FALSE
906,TRUE,5/14/19 15:37,R_qVfrw0StuNHWayZ,25,Female,1,FALSE,0,4,0,10,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",FALSE
1003,TRUE,5/14/19 15:38,R_2BaL8D4IySmLflo,69,Female,1,TRUE,6.799,4,0,21,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
597,TRUE,5/14/19 15:39,R_1Pc9cOk0l6A0h8S,28,Female,1,FALSE,1.764,1,0.64,30,competition,TRUE,"While Sally is away, she will think that her ball is in the box.",FALSE
1255,TRUE,5/14/19 15:40,R_2yjBy07pV5aTodV,61,Male,1,TRUE,6.92,4,8.639,2,cooperation,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
920,TRUE,5/14/19 15:40,R_C4CAtlo7vvfNObD,35,Male,1,TRUE,2.659,4,0,21,competition,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
1341,TRUE,5/14/19 15:41,R_1JXGXB9uKyABYsi,33,Male,1,TRUE,3.207,3,2.121,12,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
1333,TRUE,5/14/19 15:41,R_22LCMPNC6mifHiK,45,Male,1,FALSE,0.909,6,0,18,competition,TRUE,"While Sally is away, she will think that her ball is in the box.",FALSE
