Subject Number,Gender,Nice_Mean,Test Date,Age,Age Category,Ethnicity,Usable_Final_Sally,Exclusion_Criteria_Sally,Where will Sally look?,Where does Sally think her ball is?,Should Anne and Sally be friends?,Is Anne a nice girl or not a nice girl,Is Sally a nice girl or not a nice girl?,Order of think and look asked,1: look asked first; 2: think asked first 
1000,M,Nice,4/7/13,4.688868613,four,Wh,0,pilot,Closet,Basket,Yes,Mean,Nice,Look 1st asked,1
1001,F,Nice,4/7/13,4.227820372,four,Wh,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1002,M,Nice,4/7/13,4.167579409,four,As,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1003,M,Mean,4/7/13,4.167579409,four,As,1,,Closet,Closet,Yes,Nice,Mean,Look 1st asked,1
1004,M,Mean,4/7/13,4.590328467,four,Wh,1,,Closet,Closet,Yes,Nice,Mean,Look 1st asked,1
1005,F,Nice,4/21/13,4.760036496,four,Wh,1,,Basket,Closet,Yes,Nice,Nice,Look 1st asked,1
1006,F,Nice,4/21/13,3.277207392,three,Wh,1,,Closet,Basket,Yes,Nice,Mean,Look 1st asked,1
1007,M,Nice,4/21/13,4.623175182,four,Wh,1,,Closet,Basket,Yes,Nice,Nice,Look 1st asked,1
1008,F,Mean,4/21/13,5.096715328,five,Filipino,1,,Basket,Basket,Yes,Mean,Nice,Look 1st asked,1
1009,F,Mean,4/22/13,4.376824818,four,Wh,1,,Basket,Closet,No,Mean,Mean,Look 1st asked,1
1010,F,Mean,4/22/13,3.699342826,three,Wh,0,fussed out,,,,,,Look 1st asked,1
1011,M,Mean,4/22/13,4.38229927,four,Br,1,,Basket,Basket,No,Mean,Nice,Look 1st asked,1
1012,M,Mean,4/22/13,5.118613139,five,Wh,1,,Basket,Basket,Yes,Mean,Nice,Look 1st asked,1
1013,M,Mean,4/22/13,3.825301205,three,Bl,1,,Closet,Closet,No,Mean,Nice,Look 1st asked,1
1014,F,Nice,4/22/13,3.540525739,three,Wh,0,did not complete task,,,,,,Look 1st asked,1
1015,F,Nice,4/22/13,3.036276523,three,Wh,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1016,F,Nice,4/27/13,4.47810219,four,As,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1017,M,Nice,4/28/13,4.620437956,four,Wh,1,,Closet,Basket,Yes,Nice,Nice,Look 1st asked,1
1018,F,Nice,5/2/13,4.21686747,four,Wh,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1019,M,Nice,5/2/13,4.541058394,four,Wh,1,,Closet,Basket,Yes,Nice,Nice,Look 1st asked,1
1020,M,Nice,5/2/13,3.080082136,three,Mix as/Wh,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1021,F,Nice,5/10/13,4.047097481,four,Wh,1,,Basket,Basket,Yes,Nice,Nice,Look 1st asked,1
1022,F,Nice,5/10/13,4.219605696,four,As,0,language issues,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1023,F,Mean,5/10/13,2.776180698,younger,FilipiNo,0,was too young,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1024,M,Mean,5/10/13,4.510948905,four,Wh,1,,Basket,Basket,No,Mean,Nice,Look 1st asked,1
1025,F,Mean,5/10/13,4.516423358,four,As,1,,Closet,Closet,No,Mean,Nice,Look 1st asked,1
1026,F,Mean,5/11/13,3.852683461,three,Wh,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1027,F,Mean,5/11/13,5.434102464,five,As,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1028,M,Mean,5/11/13,2.25,younger,Wh,0,was too young,Basket,Basket,No,Nice,Mean,Look 1st asked,1
1029,M,Nice,5/11/13,4.650547445,four,Wh,1,,Closet,Basket,Yes,Nice,Nice,Look 1st asked,1
1030,M,Nice,5/11/13,4.650547445,four,Wh,0,did not do the task,,,,,Nice,Look 1st asked,1
1031,M,Mean,5/11/13,5.64215878,five,Mix-as/Wh,1,,Closet,Basket,Yes,Mean,Nice,Look 1st asked,1
1032,F,Mean,5/11/13,5.368400469,five,Wh,0,99,Basket,Basket,No,Mean,Nice,Look 1st asked,1
1033,M,Nice,5/11/13,3.373493976,three,Wh,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1034,F,Nice,5/11/13,5.162408759,five,Wh,1,,Basket,Basket,Yes,Nice,Nice,Look 1st asked,1
1035,F,Mean,5/11/13,4.519160584,four,Wh,1,,Basket,Basket,No,Nice,Mean,Look 1st asked,1
1036,F,Mean,5/11/13,4.115553122,four,Wh,1,,Closet,Basket,No,Nice,Mean,Look 1st asked,1
1037,M,Nice,5/11/13,3.8033954,three,Wh,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1038,F,Nice,5/11/13,5.508017208,five,As,1,,Closet,Basket,Yes,Nice,Nice,Look 1st asked,1
1039,F,Mean,5/17/13,5.458740712,five,Phil,1,,Basket,Basket,Yes,Nice,Mean,Look 1st asked,1
1040,F,Mean,5/17/13,5.55455612,five,Phil,1,,Basket,Basket,Yes,Nice,Nice,Look 1st asked,1
1041,M,Nice,5/17/13,5.296532847,five,Mixed -AS/WH,1,,Closet,Basket,Yes,Nice,Mean,Look 1st asked,1
1042,M,Nice,5/17/13,4.464416058,four,As,1,,Closet,Basket,Yes,Mean,Mean,Look 1st asked,1
